[train]
7JYX_3 1O65_1 6KYF_1 5HKO_1 5L8V_1 3TZT_1 4OZ7_1 5YIP_2 4ES7_1 1TA9_1 
3C6M_1 2W31_1 7BJB_2 3PFS_1 4U7L_1 1NYH_1 2P1M_2 1SE7_1 2O8X_1 6O8C_2 
3ZRK_2 5C8A_1 3TFC_1 2OMK_1 2QPX_1 3LWB_1 4P6Q_1 5V1T_2 6HVG_1 4Z78_3 
4GA7_1 6FKM_1 7SMF_1 5YXW_2 6HZH_1 2WHN_1 5ZYN_1 3HHF_1 3A4X_1 2G2C_1 
6AK3_1 4IVN_1 2X4H_1 5GM1_1 7W26_1 2M94_1 3PO0_1 3IBJ_1 1S3O_1 3BRW_1 
4TPS_1 6RB9_1 1Y11_1 3HDC_1 2ZVS_1 1S5H_3 6UT4_1 3WUV_2 2V0P_1 4F7F_1 
3GCG_2 2P7N_1 2RBG_1 3U4Z_1 2JN8_1 7BJ3_1 4FZL_1 6UF6_1 2GUZ_1 4Y6W_1 
5IRO_4 5T4M_1 5VSU_6 5JZE_2 3R9I_2 4C00_1 5OW5_2 6YWA_1 2O38_1 2G3B_1 
7SYB_1 7ABP_1 6LGQ_1 6QZA_3 2I51_1 2QAZ_1 5X9A_1 4GN5_1 5W2J_2 5GTR_2 
5DIS_4 6ZHK_1 3VJP_1 1GMU_1 5Z5M_1 2O3B_1 4E17_2 2P5L_3 5HFJ_1 5I9E_3 
1QAG_1 7MIC_1 3DO5_1 2HM8_1 5VK2_1 4FLB_1 6T2N_1 6HON_2 5FYD_1 6X08_1 
5EEQ_2 6EWJ_1 3WW0_2 3ZID_1 4RKK_1 3ZZY_1 7CRU_1 2IS1_3 6LSU_1 5BUT_2 
7MYN_2 1RSU_2 4BKX_1 5CW2_1 6VRI_2 3SWP_1 1OHH_4 4ZM6_1 4JOG_2 6TWQ_2 
6TN6_1 7KFA_3 2CFX_1 4S36_1 3VOT_1 6LKE_1 4N0P_1 4U5A_1 3M5U_1 2LC7_1 
2V1D_2 5W5S_3 4XYD_1 3DJL_1 4IXO_1 3G1B_2 7AL2_1 3VZA_3 3SDQ_1 6WCI_1 
4AXG_2 1OC6_1 4ES6_1 5MVF_1 2ESS_1 2NBM_1 4PU3_2 3TG5_2 4EVM_1 3KSO_1 
2HP0_1 4Q1G_1 4YER_1 7MQQ_1 3W21_1 4OR8_1 2NTM_1 2Y96_1 6BYK_2 1W2T_1 
