name,H_lig_ub_wt,H_lig_ub_mt,H_lig_b_wt,H_lig_b_mt,H_rec_ub,H_rec_b_wt,H_rec_b_mt,bias,aa_coef,aa_bias,grouped_pearson,grouped_spearman
params_2_0.pt,0.3452,-0.4149,-0.4641,0.4815,-0.0023,-0.1718,0.1377,-0.0137,"[1.81326162815094, 5.880647659301758, 0.501819908618927, 0.5093949437141418, 1.4156780242919922, 1.81326162815094, 0.5031589865684509, 1.0381975173950195, 2.2087185382843018, 3.214334726333618, 1.6006439924240112, 0.507056713104248, 0.5212293863296509, 0.6277978420257568, 1.0074400901794434, 0.8478773832321167, 5.189732074737549, 1.0956525802612305, 0.5906566381454468, 0.502250075340271, 1.81326162815094]","[1.9773671627044678, -2.2756247520446777, -4.308419704437256, -3.0594382286071777, -10.981014251708984, -1.9954378604888916, -7.459265232086182, -4.27908182144165, -8.819019317626953, -4.934683322906494, -2.670837640762329, -2.749337673187256, 4.423531532287598, -0.7165677547454834, -8.548023223876953, 0.037629496306180954, -1.3069109916687012, 0.18025696277618408, -13.496254920959473, -12.44806957244873, 0.0]",0.3387,0.2973
params_9_0.pt,0.3817,-0.4391,-0.5191,0.5251,-0.0112,-0.1214,0.0889,0.0402,"[1.81326162815094, 5.810176372528076, 0.5016058683395386, 0.5085715055465698, 1.2904894351959229, 1.81326162815094, 0.5021624565124512, 0.9821293354034424, 2.0229973793029785, 2.9534108638763428, 1.4378831386566162, 0.5050798654556274, 0.5222544074058533, 0.5983730554580688, 0.9664781093597412, 0.5192895531654358, 4.6556549072265625, 0.8174604177474976, 0.604343593120575, 0.5018225312232971, 1.81326162815094]","[1.4894146919250488, -1.3876491785049438, -3.388749837875366, -2.304218053817749, -9.165946960449219, -1.3174422979354858, -6.234058380126953, -3.423142671585083, -7.577722549438477, -4.050780296325684, -2.426985740661621, -2.1540873050689697, 4.086677074432373, -0.4242746829986572, -7.152506351470947, 0.17770035564899445, -0.8004245162010193, 0.24420496821403503, -11.096247673034668, -10.458296775817871, 0.0]",0.3377,0.2927
params_7_0.pt,0.3616,-0.4235,-0.4891,0.5001,-0.0086,-0.1299,0.0985,0.0160,"[1.81326162815094, 6.047327995300293, 0.5016759037971497, 0.5097280740737915, 1.350370168685913, 1.81326162815094, 0.5024315118789673, 1.0367083549499512, 2.1296286582946777, 3.11578369140625, 1.527569055557251, 0.5059809684753418, 0.5205174684524536, 0.6207237243652344, 1.0029281377792358, 0.547031044960022, 4.95612096786499, 0.927940309047699, 0.6219425201416016, 0.5019657015800476, 1.81326162815094]","[1.655854344367981, -1.7086621522903442, -3.815413236618042, -2.6587905883789062, -10.08031940460205, -1.6133497953414917, -6.848703861236572, -3.837235450744629, -8.22636890411377, -4.487563610076904, -2.612287998199463, -2.4448001384735107, 4.245888710021973, -0.5686143040657043, -7.848731517791748, 0.10863984376192093, -1.015122890472412, 0.1839139461517334, -12.235193252563477, -11.447908401489258, 0.0]",0.3381,0.2938
params_6_0.pt,0.3812,-0.4377,-0.5192,0.5251,-0.0116,-0.1172,0.0851,0.0445,"[1.81326162815094, 5.828232765197754, 0.5015730857849121, 0.5088675022125244, 1.2908103466033936, 1.81326162815094, 0.502175509929657, 0.9836070537567139, 2.0239033699035645, 2.9536547660827637, 1.4367930889129639, 0.5051895380020142, 0.5225162506103516, 0.6008792519569397, 0.9702305793762207, 0.5157032608985901, 4.648200988769531, 0.8041083812713623, 0.6087894439697266, 0.501899778842926, 1.81326162815094]","[1.4479700326919556, -1.3720581531524658, -3.3533220291137695, -2.274883270263672, -9.101292610168457, -1.285709023475647, -6.199203014373779, -3.393486499786377, -7.5495452880859375, -4.02962064743042, -2.4360435009002686, -2.129521131515503, 4.08157205581665, -0.4168466329574585, -7.1084465980529785, 0.18027664721012115, -0.7839911580085754, 0.2378055602312088, -11.002359390258789, -10.393590927124023, 0.0]",0.3376,0.2915
params_1_0.pt,0.3608,-0.4238,-0.4863,0.4974,-0.0069,-0.1420,0.1096,0.0088,"[1.81326162815094, 5.985097885131836, 0.5017209053039551, 0.5091775059700012, 1.3588392734527588, 1.81326162815094, 0.5026346445083618, 1.0305737257003784, 2.1373796463012695, 3.125471591949463, 1.535325288772583, 0.5060174465179443, 0.5205429792404175, 0.6168971657752991, 0.9973094463348389, 0.5937804579734802, 4.9905290603637695, 0.9651192426681519, 0.6093683242797852, 0.5019915699958801, 1.81326162815094]","[1.7847511768341064, -1.7739802598953247, -3.8983075618743896, -2.722161054611206, -10.254533767700195, -1.6853822469711304, -6.9462714195251465, -3.908496379852295, -8.308797836303711, -4.540200233459473, -2.580853223800659, -2.4965908527374268, 4.288885116577148, -0.573316216468811, -7.969348907470703, 0.114901602268219, -1.0464457273483276, 0.2230355143547058, -12.498794555664062, -11.636488914489746, 0.0]",0.3380,0.2957
params_0_0.pt,0.4092,-0.4619,-0.5626,0.5647,-0.0145,-0.1209,0.0872,0.0725,"[1.81326162815094, 5.378793716430664, 0.5014175176620483, 0.5071930885314941, 1.2122538089752197, 1.81326162815094, 0.5018665790557861, 0.8976619243621826, 1.8807330131530762, 2.727539300918579, 1.31913423538208, 0.5042036175727844, 0.5264863967895508, 0.5705667734146118, 0.9141223430633545, 0.5085221529006958, 4.248110294342041, 0.6910650730133057, 0.5788251161575317, 0.5017894506454468, 1.81326162815094]","[1.2034739255905151, -1.1837748289108276, -2.9007461071014404, -1.9094092845916748, -8.005260467529297, -0.9940109252929688, -5.498626708984375, -2.9408161640167236, -6.7837815284729, -3.5640084743499756, -2.2340805530548096, -1.8179136514663696, 3.851198434829712, -0.30322694778442383, -6.290402412414551, 0.2083679586648941, -0.6073725819587708, 0.254442036151886, -9.650245666503906, -9.204384803771973, 0.0]",0.3373,0.2917
params_4_0.pt,0.3444,-0.4147,-0.4627,0.4807,-0.0020,-0.1712,0.1371,-0.0160,"[1.81326162815094, 5.897182941436768, 0.5018242001533508, 0.5093616843223572, 1.4191378355026245, 1.81326162815094, 0.503148078918457, 1.043566346168518, 2.2137908935546875, 3.223090171813965, 1.6066571474075317, 0.5070453882217407, 0.5209382176399231, 0.6286243796348572, 1.0088528394699097, 0.8563126921653748, 5.2083306312561035, 1.1031098365783691, 0.5922663807868958, 0.5022156238555908, 1.81326162815094]","[1.9916445016860962, -2.300564765930176, -4.351346015930176, -3.096527338027954, -11.058018684387207, -2.0260322093963623, -7.511759281158447, -4.318528175354004, -8.870620727539062, -4.975029468536377, -2.6844542026519775, -2.777177572250366, 4.429972171783447, -0.7340752482414246, -8.608753204345703, 0.029077669605612755, -1.3316819667816162, 0.1680358350276947, -13.594371795654297, -12.532201766967773, 0.0]",0.3387,0.2972
params_3_0.pt,0.4086,-0.4620,-0.5612,0.5636,-0.0142,-0.1210,0.0874,0.0696,"[1.81326162815094, 5.394821643829346, 0.5014504790306091, 0.5071134567260742, 1.2144224643707275, 1.81326162815094, 0.5018550753593445, 0.9014118909835815, 1.8846207857131958, 2.7350683212280273, 1.323709487915039, 0.5041702389717102, 0.525678813457489, 0.5705915689468384, 0.9147018194198608, 0.5094625353813171, 4.263887882232666, 0.698421835899353, 0.5785204172134399, 0.501713752746582, 1.81326162815094]","[1.2248475551605225, -1.1874346733093262, -2.9287667274475098, -1.9323300123214722, -8.064632415771484, -1.014489769935608, -5.533453941345215, -2.9661707878112793, -6.818880081176758, -3.5869393348693848, -2.237788200378418, -1.8373243808746338, 3.8584036827087402, -0.3098389804363251, -6.333539962768555, 0.20665226876735687, -0.6189768314361572, 0.25455135107040405, -9.727747917175293, -9.266568183898926, 0.0]",0.3373,0.2907
params_8_0.pt,0.4070,-0.4602,-0.5590,0.5615,-0.0142,-0.1202,0.0867,0.0697,"[1.81326162815094, 5.416689872741699, 0.5014744400978088, 0.5073153376579285, 1.218132734298706, 1.81326162815094, 0.501899003982544, 0.9051241874694824, 1.8916538953781128, 2.745333194732666, 1.328627586364746, 0.5043184757232666, 0.5258846282958984, 0.5727068781852722, 0.9183440804481506, 0.5088545083999634, 4.280051231384277, 0.7004436254501343, 0.5812404751777649, 0.5018265247344971, 1.81326162815094]","[1.2228809595108032, -1.1975749731063843, -2.939283847808838, -1.9405885934829712, -8.095915794372559, -1.0190825462341309, -5.556350231170654, -2.9786548614501953, -6.846150875091553, -3.6029293537139893, -2.2504703998565674, -1.844403862953186, 3.868338108062744, -0.31337112188339233, -6.358002185821533, 0.20541782677173615, -0.6229956150054932, 0.25187253952026367, -9.761942863464355, -9.302260398864746, 0.0]",0.3373,0.2908
params_5_0.pt,0.4103,-0.4632,-0.5640,0.5661,-0.0144,-0.1214,0.0877,0.0720,"[1.81326162815094, 5.365514278411865, 0.5014454126358032, 0.5070480108261108, 1.209790825843811, 1.81326162815094, 0.5018445253372192, 0.895737886428833, 1.8761556148529053, 2.721132516860962, 1.3162815570831299, 0.5041515827178955, 0.5262007117271423, 0.5691317319869995, 0.9116382598876953, 0.5090088248252869, 4.238619804382324, 0.6906615495681763, 0.5771399140357971, 0.5017381310462952, 1.81326162815094]","[1.205092430114746, -1.1796740293502808, -2.8981266021728516, -1.9077287912368774, -7.991427421569824, -0.9942108988761902, -5.488288402557373, -2.9362213611602783, -6.770047187805176, -3.5574159622192383, -2.227113962173462, -1.816145658493042, 3.844383716583252, -0.3029494881629944, -6.279548168182373, 0.2078731805086136, -0.6075448393821716, 0.2544941008090973, -9.635968208312988, -9.18787670135498, 0.0]",0.3373,0.2910
